StudentID,CourseID,Grade,ExamScore,AssignmentScore
S001,C201,A,96,87
S001,C202,B,79,78
S001,C203,C,60,63
S001,C204,C,69,68
S001,C205,A,95,94
S001,C206,A,81,84
S001,C207,C,60,62
S001,C208,C,67,69
S001,C209,C,60,69
S001,C210,B,78,71
S001,C211,A,95,82
S001,C212,A,87,92
S001,C213,A,98,100
S001,C214,B,70,70
S001,C215,C,62,63
S001,C216,B,76,74
S001,C217,C,66,63
S001,C218,A,94,95
S001,C219,B,79,74
S001,C220,F,2,14
S001,C221,A,92,81
S001,C222,B,74,70
S001,C223,D,58,50
S001,C224,C,63,62
S001,C225,C,68,69
S001,C226,B,75,71
S001,C227,B,74,78
S001,C228,F,34,43
S001,C229,B,79,77
S001,C230,B,77,74
S001,C231,A,90,91
S001,C232,C,63,66
S001,C233,B,78,74
S001,C234,C,60,66
S001,C235,A,85,94
S001,C236,B,72,79
S001,C237,B,75,73
S001,C238,C,60,64
S001,C239,B,70,75
S001,C240,C,67,66
S001,C241,B,79,73
S001,C242,B,74,74
S001,C243,D,53,57
S001,C244,C,64,62
S001,C245,A,85,80
S001,C246,A,100,92
S001,C247,C,61,60
S001,C248,A,88,94
S001,C249,A,87,87
S001,C250,C,69,65
S002,C201,F,27,26
S002,C202,B,74,70
S002,C203,C,65,63
S002,C204,A,98,96
S002,C205,B,79,74
S002,C206,A,83,96
S002,C207,C,63,64
S002,C208,F,7,1
S002,C209,B,76,75
S002,C210,C,63,64
S002,C211,C,67,67
S002,C212,C,66,60
S002,C213,B,70,75
S002,C214,C,66,66
S002,C215,B,74,79
S002,C216,C,62,60
S002,C217,C,65,68
S002,C218,A,86,89
S002,C219,A,88,97
S002,C220,B,70,79
S002,C221,B,77,78
S002,C222,B,79,78
S002,C223,A,93,84
S002,C224,D,54,55
S002,C225,D,53,59
S002,C226,C,61,64
S002,C227,C,60,64
S002,C228,A,82,97
S002,C229,B,70,71
S002,C230,B,77,71
S002,C231,A,82,99
S002,C232,D,55,54
S002,C233,C,66,64
S002,C234,B,75,75
S002,C235,C,62,68
S002,C236,C,62,64
S002,C237,D,58,53
S002,C238,A,93,90
S002,C239,D,53,55
S002,C240,A,93,89
S002,C241,A,80,88
S002,C242,A,98,86
S002,C243,C,68,68
S002,C244,A,82,88
S002,C245,C,64,69
S002,C246,B,70,72
S002,C247,A,85,95
S002,C248,C,62,61
S002,C249,C,66,67
S002,C250,C,61,62
S003,C201,B,74,73
S003,C202,A,88,98
S003,C203,B,72,70
S003,C204,B,74,79
S003,C205,B,72,76
S003,C206,B,79,77
S003,C207,C,65,66
S003,C208,B,74,74
S003,C209,D,55,56
S003,C210,C,63,69
S003,C211,C,69,64
S003,C212,B,74,72
S003,C213,C,62,66
S003,C214,C,60,64
S003,C215,B,73,73
S003,C216,A,90,90
S003,C217,A,88,91
S003,C218,C,61,63
S003,C219,C,60,64
S003,C220,B,75,71
S003,C221,B,70,72
S003,C222,C,63,65
S003,C223,A,84,88
S003,C224,C,60,62
S003,C225,A,82,95
S003,C226,C,62,69
S003,C227,C,60,63
S003,C228,A,89,96
S003,C229,A,94,88
S003,C230,A,100,84
S003,C231,A,98,80
S003,C232,C,63,69
S003,C233,C,67,67
S003,C234,A,90,97
S003,C235,C,63,68
S003,C236,A,88,93
S003,C237,C,65,65
S003,C238,C,61,60
S003,C239,B,71,75
S003,C240,D,50,58
S003,C241,B,78,75
S003,C242,B,78,72
S003,C243,B,78,70
S003,C244,B,72,71
S003,C245,C,65,67
S003,C246,A,85,96
S003,C247,C,63,66
S003,C248,A,95,98
S003,C249,D,58,53
S003,C250,A,93,80
S004,C201,D,56,57
S004,C202,C,60,67
S004,C203,C,68,63
S004,C204,B,76,76
S004,C205,C,64,68
S004,C206,C,61,62
S004,C207,C,68,68
S004,C208,A,91,81
S004,C209,C,69,67
S004,C210,B,74,79
S004,C211,B,75,78
S004,C212,C,63,63
S004,C213,A,80,80
S004,C214,B,78,79
S004,C215,C,63,60
S004,C216,B,75,72
S004,C217,C,63,68
S004,C218,C,65,66
S004,C219,C,62,67
S004,C220,B,74,78
S004,C221,B,78,72
S004,C222,C,66,62
S004,C223,C,62,67
S004,C224,C,69,61
S004,C225,A,87,86
S004,C226,C,65,68
S004,C227,B,70,72
S004,C228,C,60,68
S004,C229,B,75,70
S004,C230,C,60,61
S004,C231,B,78,79
S004,C232,C,69,68
S004,C233,B,72,72
S004,C234,C,60,61
S004,C235,C,65,69
S004,C236,B,70,70
S004,C237,A,91,81
S004,C238,B,73,75
S004,C239,C,60,63
S004,C240,B,79,72
S004,C241,C,65,60
S004,C242,B,72,74
S004,C243,B,72,75
S004,C244,C,66,61
S004,C245,B,72,73
S004,C246,D,56,50
S004,C247,C,68,60
S004,C248,D,59,58
S004,C249,C,68,68
S004,C250,A,89,90
S005,C201,A,100,86
S005,C202,B,70,77
S005,C203,C,65,63
S005,C204,A,82,80
S005,C205,B,77,75
S005,C206,A,98,96
S005,C207,C,67,62
S005,C208,A,91,91
S005,C209,B,70,75
S005,C210,C,69,69
S005,C211,C,66,63
S005,C212,A,88,94
S005,C213,C,61,69
S005,C214,B,78,75
S005,C215,F,18,10
S005,C216,C,66,64
S005,C217,C,62,62
S005,C218,C,63,66
S005,C219,B,75,70
S005,C220,B,79,78
S005,C221,B,77,77
S005,C222,C,69,60
S005,C223,C,69,61
S005,C224,A,85,99
S005,C225,C,60,60
S005,C226,A,93,92
S005,C227,A,100,95
S005,C228,C,67,60
S005,C229,C,62,62
S005,C230,B,75,75
S005,C231,B,76,72
S005,C232,C,68,67
S005,C233,A,98,80
S005,C234,B,75,76
S005,C235,D,58,57
S005,C236,C,66,61
S005,C237,C,65,61
